id,city,player_of_match,motm_team,non_motm_team,team1,team2,toss_winner,toss_decision,winner,eliminator,batting_team,bowling_team,year
1136595,Pune,RA Jadeja,CSK,RCB,CSK,RCB,CSK,field,CSK,N,RCB,CSK,2018
1136606,Pune,AT Rayudu,CSK,SRH,CSK,SRH,CSK,field,CSK,N,CSK,SRH,2018
1136616,Pune,L Ngidi,CSK,KXIP,CSK,KXIP,CSK,field,CSK,N,KXIP,CSK,2018
598035,Raipur,DA Warner,DD,DC,DC,Pune,Pune,field,DC,N,DD,Pune,2013
598040,Raipur,DA Warner,DD,DC,DC,KKR,KKR,bat,DC,N,DD,KKR,2013
829793,Raipur,MC Henriques,SRH,DC,DC,SRH,SRH,bat,SRH,N,DD,SRH,2015
829801,Raipur,Z Khan,DD,DC,DC,CSK,CSK,bat,DC,N,CSK,DD,2015
981003,Raipur,KK Nair,DD,DC,DC,SRH,DC,field,DC,N,DD,SRH,2016
981011,Raipur,V Kohli,RCB,DC,DC,RCB,RCB,field,RCB,N,RCB,DD,2016
980911,Rajkot,AJ Finch,GL,Pune,GL,Pune,Pune,bat,GL,N,GL,Pune,2016
980929,Rajkot,B Kumar,SRH,GL,GL,SRH,SRH,field,SRH,N,GL,SRH,2016
980937,Rajkot,V Kohli,RCB,GL,GL,RCB,RCB,bat,GL,N,RCB,GL,2016
980955,Rajkot,AR Patel,KXIP,GL,GL,KXIP,GL,field,KXIP,N,GL,KXIP,2016
980961,Rajkot,RR Pant,DD,GL,GL,DC,DC,field,DC,N,DD,GL,2016
1082593,Rajkot,CA Lynn,KKR,GL,GL,KKR,KKR,field,KKR,N,KKR,GL,2017
1082603,Rajkot,AJ Tye,GL,Pune,GL,Pune,GL,field,GL,N,Pune,GL,2017
1082610,Rajkot,CH Gayle,RCB,GL,GL,RCB,GL,field,RCB,N,RCB,GL,2017
1082616,Rajkot,HM Amla,KXIP,GL,GL,KXIP,GL,field,KXIP,N,KXIP,GL,2017
1082625,Rajkot,KH Pandya,MI,GL,GL,MI,GL,bat,MI,Y,GL,MI,2017
598057,Ranchi,JH Kallis,KKR,RCB,KKR,RCB,KKR,field,KKR,N,KKR,RCB,2013
598061,Ranchi,MK Pandey,Pune,KKR,KKR,Pune,KKR,field,Pune,N,Pune,KKR,2013
733971,Ranchi,RA Jadeja,CSK,KKR,CSK,KKR,CSK,bat,CSK,N,KKR,CSK,2014
734003,Ranchi,RA Jadeja,CSK,RR,CSK,RR,RR,bat,CSK,N,RR,CSK,2014
